
a	(thông tục) loại a
splenetical	(thuộc) lách
splenial	(y học) dùng để nẹp
splenic	(thuộc) lách; trong lách
splenii	(giải phẫu) cơ gối
splenitic	(y học) (thuộc) viêm lách
splenitis	(y học) viêm lách
splenius	(giải phẫu) cơ gối
splenization	(y học) sự lách hoá (của phổi)
splenoid	dạng lách
splenology	(y học) môn học về lách
splenotomy	(y học) thủ thuật mở lách
splice	chỗ nối bện (hai đầu dây)
spline	chốt trục (ở bánh xe
splint	thanh nẹp
splinter	mảnh vụn (gỗ
splinter party	(chính trị) đảng phân lập (tách ra từ một đảng lớn)
splinter-bar	trục xe
splinter-bone	(giải phẫu) xương mác ((cũng) splint)
splinter-proof	chống mảnh đạn
splintery	có mảnh vụn
splipy	(thông tục) (như) slippery
split	nứt
split infinitive	(ngôn ngữ học) động từ ở lối vô định bị tách ra (bởi phó từ) (ví dụ he decided to gradually changer his procedure)
split pin	(kỹ thuật) chốt chẻ
split ring	vòng móc chìa khoá
splitter	người tách ra
splittism	(chính trị) chủ nghĩ bè phái
splodge	vết bẩn
splosh	(thông tục) lượng nước đổ xuống
splotch	vết bẩn
splotchy	có vết bẩn
splurge	(từ lóng) sự phô trương rầm rộ; sự loè người; sự cố gắng để phô trương
splutter	sự thổi phì phì
splutterer	người nói lắp bắp
spoffish	(từ lóng) lăng xăng
spoil	(số nhiều) chiến lợi phẩm
spoil system	chế độ ưu tiên dành chức vị (cho đảng viên đảng thắng lợi trong cuộc tuyển cử)
spoil-sport	người phá bĩnh
spoilage	sự làm hỏng
spoiler	người làm hư
spoilsman	người ủng hộ (đảng tranh cử) để kiếm chức vị
spoilt	(số nhiều) chiến lợi phẩm
spoke	cái nan hoa
spoke-bone	(giải phẫu) xương quay
spoken	nói
spokeshave	cái bào khum
spokesman	người phát ngôn
spokewise	xoè ra
spoking-machine	máy lắp nan hoa (cho nghiêng đều)
spoliate	cướp đoạt; cướp phá
spoliation	sự cướp đoạt
spoliator	người cướp đoạt
spoliatory	có tính chất cướp đoạt; có tính chất cướp phá
spondaic	(thơ ca) (thuộc) âm tiết xponđê
spondee	âm tiết xponđê (thơ)
spondulicks	(từ Mỹ
spondyl	(giải phẫu) đốt sống
spondyle	(giải phẫu) đốt sống
sponge	bọt biển
sponge-bath	sự lau người bằng bọt biển
sponge-cake	bánh xốp
sponge-cloth	vải xốp; khăn xốp
sponger	người vớt bọt biển; chậu vớt bọt biển
spongiform	giống bọt biển
sponginess	tính mềm xốp; tính hút nước (như bọt biển)
sponging	sự vớt bọt biển
sponging-house	(sử học) nhà tạm giam con nợ
spongy	như bọt biển; mềm xốp
sponsion	(pháp lý) sự đảm bảo
sponson	cánh sườn (chỗ nhổ ra ở hai bên sườn tàu)
sponsor	cha đỡ đầu
sponsorial	đỡ đầu
sponsorship	trách nhiệm của cha đỡ đầu
spontaneity	tính tự động
spontaneous	tự động
spontaneousness	tính tự động
spontoon	(sử học) cái thương
spoof	(từ lóng) sự lừa gạt
spoofer	(từ lóng) kẻ đánh lừa
spook	đùa cợt) ma quỷ
spookish	có ma quỷ; như ma quỷ
spooky	có ma quỷ; như ma quỷ
spool	ống chỉ
spoon	cái thìa
spoon-bait	môi thìa (mồi bằng kim loại
spoon-bill	ill) 
spoon-drift	rift) 
spoon-fed	được khuyến khích nâng đỡ bằng biện pháp giả tạo (bằng tiền trợ cấp và hàng rào thuế quan) (công nghiệp)
spoon-meat	thức ăn lỏng; thức ăn cho trẻ con
spoon-net	cái vợt hứng cá
spoonbeak	ill) 
spooner	người nói ngọng
spoonerism	sự nói ngọng
spooney	khờ dại
spoonful	thìa (đầy)
spoonily	khờ dại
spooniness	sự khờ dại
spoons	(từ Mỹ
spoony	khờ dại
spoor	dấu đi (súc vật)
sporadic	rời rạc
sporadical	rời rạc
sporadicalness	tính chất rời rạc
sporangia	(thực vật học) túi bao tử
sporangium	(thực vật học) túi bao tử
spore	(sinh vật học) bào tử
spore-case	(sinh vật học) (như) sporangium
sporiferous	(thực vật học) có bào tử
sporogenesis	(sinh vật học) sự phát sinh bào tử
sporogenous	(sinh vật học) sinh bào tử
sporophyl	(thực vật học) lá bào tử
sporophyll	(thực vật học) lá bào tử
sporophyte	(thực vật học) thể bào tử
sporozoan	(động vật học) trùng bào tử
sporran	túi da (một bộ phận của y phục người miền núi Ê-cốt)
sport	thể thao
sportful	vui đùa
sportiness	tính chất thể thao; tính thích thể thao
sporting	(thuộc) thể thao; thích thể thao
sporting chance	cơ hội có thể thắng có thể bại
sporting house	(thông tục) nhà chứa
sportive	vui tính
sportiveness	tính chất vui đùa
sports field	sân chơi thể thao
sports ground	sân chơi thể thao
sports-car	xe đua
sports-coat	áo choàng rộng
sports-editor	chủ nhiệm mục thể thao (trong báo)
sports-jacket	áo vét rộng
sportsman	người thích thể thao; nhà thể thao
sportsmanlike	xứng đáng với một nhà thể thao
sportsmanship	tinh thần thể thao
sportswear	quần áo thể thao
sportswoman	người đàn bà thích thể thao
sporty	(thông tục) thể thao
sporulate	(sinh vật học) hình thành bào tử
sporulation	(sinh vật học) sự hình thành bào tử
sporule	(sinh vật học) bào tử
spot	dấu
spotless	không có đốm
spotlessness	tính chất sạch sẽ
spotlight	đèn sân khấu
spots	hàng bán trả tiền ngay
spotted	lốm đốm
spotted dog	(từ lóng) bánh putđinh nho khô
spotted fever	(y học) viêm màng não tuỷ
spotter	người chuyên phát hiện mục tiêu (từ trên máy bay)
spottiness	sự lốm đốm
spotty	có đốm
spouse	(thơ ca); (từ cổ
spout	vòi (ấm tích)
spout-hole	lỗ mũi cá voi ((cũng) spout)
spouter	người bình thơ; người yêu thơ
spoutless	không có vòi
spraddle	giạng chân
sprag	miếng gỗ chèn xe
sprain	sự bong gân
spraints	phân rái cá
sprang	sự nhảy; cái nhảy
sprat	cá trích cơm
spratter	người đi câu cá trích cơm
sprawl	sự nằm dài ra
spray	cành nhỏ (có hoa)
spray-drain	mương
spray-gun	ống phun
sprayboard	tấm chắn nước toé (ở tàu)
sprayer	người phun
sprayey	có nhiều cành nhỏ
spread	sự trải ra
spread eagle	hình đại bàng giang cánh (quốc huy Mỹ)
spread-eagle	có hình con đại bàng giang cánh
spread-eagleism	tính huênh hoang khoác lác
spreader	người trải ra
spreader-over	ver_system) 
spreader-over system	ver_system) 
spree	cuộc vui chơi miệt mài; sự chè chén lu bù
sprig	cành con; chồi
spriggy	có nhiều cành con
sprightliness	sự vui vẻ
sprightly	vui vẻ
spring	sự nhảy; cái nhảy
spring balance	cân lò xo
spring bed	giường lò xo
spring chicken	gà giò
spring fever	cảm giác bần thần mệt mỏi vào những ngày nắng âm đầu xuân
spring gun	súng bẫy (bắn khi người hay vật chạm vào)
spring mattress	nệm lò xo
spring tide	con nước lên
spring water	nước nguồn
spring-board	ván nhún
spring-carriage	toa xe có nhíp
spring-clean	quét dọn (nhà cửa) vào mùa xuân
spring-cleaning	sự quét dọn nhà cửa vào mùa xuân
spring-halt	alt) 
springal	(từ cổ
springald	(từ cổ
springbok	(động vật học) linh dương Nam phi
springe	cái thòng lọng
springer	người nhảy
springhead	nguồn
springiness	tính co dãn
springless	không có lò xo
springlet	suối nhỏ
springlike	như mùa xuân
springtide	(thơ ca) mùa xuân
springtime	mùa xuân
springy	co dãn
sprinkle	sự rắc
sprinkler	bình tưới nước
sprinkler system	hệ thống ống tưới nước (vườn hoa
sprinkling	sự rải
sprint	sự chạy nhanh
sprinter	người chạy nước rút
sprit	sào căng buồm (chéo từ cột đến góc ngoài phía trên buồm)
sprite	yêu tinh
spritsail	buồm căng chéo
sprocket	răng đĩa xích
sprocket-wheel	đĩa xích
sprout	mần cây
sprouted soya	giá đậu tương
spruce	(thực vật học) cây vân sam
spruceness	sự chải chuốt
sprue	(kỹ thuật) rãnh rót (để rót kim loại nấu chảy vào khuôn)
spruit	(Nam phi) mương nhỏ
sprung	sự nhảy; cái nhảy
spry	nhanh nhẹn
spud	cái thuồng giãy cỏ
spudder	gậy nạy vỏ (để nạy vỏ cây)
spuddle	(tiếng địa phương) đào
spuddy	mập lùn (người)
spue	(như) spew
spume	bọt (nước)
spumescence	sự có bọt; sự nổi bọt
spumescent	có bọt
spuminess	sự có bọt; sự nổi bọt
spumous	có bọt
spumy	có bọt
spun	(từ lóng) mệt lử
spun glass	thuỷ tinh sợi
spun sugar	kẹo kéo
spunge	(từ cổ
spunk	(thông tục) sự gan dạ
spunky	gan dạ
spur	đinh thúc ngựa
spur gear	heel) 
spur line	(ngành đường sắt) đường nhánh
spur track	(ngành đường sắt) đường nhánh
spur-wheel	heel) 
spurge	(thực vật học) giống cây đại kích
spurious	giả
spuriousness	tính giả mạo
spurn	sự đá đi
spurrey	(thực vật học) giống cây đại qua
spurrier	người làm đinh thúc ngựa
spurry	(thực vật học) giống cây đại qua
spurt	sự cố gắng nước rút
sputa	nước bọt nước dãi
sputnik	vệ tinh nhân tạo
sputter	sự thổi phì phì
sputterer	người thổi phì phì
sputtering	thổi phì phì
sputum	nước bọt nước dãi
spy	gián điệp; người do thám
spyglass	kính thiên văn nhỏ
spyhole	khe nhòm
squab	người béo lùn
squab pie	bánh pa-tê bồ câu; bánh pa-tê cừu
squab-chick	chim non
squabble	sự cãi nhau ầm ĩ
squabbler	người hay cãi nhau
squabby	mập lùn
squacco	(động vật học) con diệc mào
squad	(quân sự) tổ
squad car	xe tuần tra của cảnh sát (có đài sóng ngắn để liên hệ với cơ quan chỉ huy)
squadron	(quân sự) đội kỵ binh
squailer	gậy ném sóc
squalid	dơ dáy
squalidity	sự dơ dáy
squalidness	sự dơ dáy
squall	cơn gió mạnh (thường có mưa hoặc tuyết...)
squaller	người kêu thét
squally	có gió mạnh
squaloid	giống như cá mập
squalor	sự dơ dáy
squama	(sinh vật học) vảy
squamae	(sinh vật học) vảy
squamose	có vảy
squamous	có vảy
squander	phung phí
squanderer	người tiêu phung phí
squandering	phung phí
squandermania	thói tiêu hoang
square	vuông
square bracket	dấu móc vuông
square circle	(thông tục) vũ đài (đấu quyền Anh)
square shooter	(từ Mỹ
square-built	to ngang (người)
square-rigged	(hàng hải) có buồm chính thẳng góc với thuyền
square-shouldered	có vai ngang (người)
square-toed	vuông mũi (giày)
square-toes	người nệ cổ; người chuộng nghi thức
squareface	(từ lóng) rượu gin
squarehead	(từ Mỹ
squarely	vuông vắn
squareness	sự vuông vắn
squarish	hơi vuông
squarrose	(sinh vật học) nhám
squarrous	(sinh vật học) nhám
squarson	đùa cợt) mục sư địa chủ
squash	quả bí
squash court	sân chơi bóng quần
squashy	mềm nhão
squat	ngồi xổm
squatter	người ngổi xổm
squatty	mập lùn
squaw	người đàn bà da đỏ; vợ người da đỏ
squaw-man	người da trắng lấy vợ da đỏ
squawk	tiếng kêu quác quác (chim)
squeak	tiếng rúc rích
squeaker	người rít lên
squeaky	chít chít (như chuột kêu)
squeal	tiếng kêu ré lên
squealer	người la hét
squeamish	hay buồn nôn
squeamishness	tính hay buồn nôn
squeegee	chổi cao su (quét sàn tàu)
squeezability	tính có thể ép được
squeezable	có thể ép được
squeeze	sự ép
squeezer	người ép
squelch	(thông tục) sự giẫm bẹp
squib	pháo ném
squid	súng cối bắn tàu ngầm
squiffer	(từ lóng) đàn Côngxectina
squiffy	(từ lóng) chếnh choáng hơi men
squilgee	chổi cao su (quét sàn tàu)
squill	(thực vật học) cây hành biển; củ hành biển (dùng làm thuốc lợi tiểu)
squill-fish	(động vật học) tôm ruộc ((cũng) squill)
squinch	(kiến trúc) vòm góc tường
squint	(y học) lác (mắt)
squint-eyed	lác mắt
squinter	người mắt lác
squire	địa chủ
squirearchal	(thuộc) chính quyền địa chủ
squirearchical	(thuộc) chính quyền địa chủ
squirearchy	giai cấp địa chủ
squireen	địa chủ nhỏ (ở Ai-len)
squirehood	cương vị địa chủ
squirelet	địa chủ nhỏ
squireling	địa chủ nhỏ
squirely	(thuộc) địa chủ
squireship	cương vị địa chủ
squirm	sự đi ngoằn ngoèo
squirrel	(động vật học) con sóc
squirrel-fish	(động vật học) cá sơn đá
squirrel-monkey	(động vật học) khỉ sóc
squirt	ống tiêm
squirt-gun	súng phụt nước (đồ chơi của trẻ con) ((cũng) squirt)
squish	(thông tục) mứt cam
squit	(từ lóng) thằng nhãi nhép
stab	sự đâm bằng dao găm; vết thương đâm bằng dao găm
stabilise	làm cho vững vàng; làm ổn định
stability	sự vững vàng
stabilization	sự làm cho vững vàng
stabilize	làm cho vững vàng; làm ổn định
stabilizer	máy ổn định
stable	vững vàng; ổn định
stable-boy	an) 
stable-call	(quân sự) hiệu lệnh dọn chuồng ngựa và tắm cho ngựa
stable-companion	ngựa cùng chuồng
stable-man	an) 
stableness	tính vững vàng; tính ổn định
stabling	sự nuôi ngựa (trong chuồng)
stablish	(từ cổ
staccato	(âm nhạc) ngắt âm
stack	cây rơm
stactometer	ống đếm giọt
stadholder	(sử học) phó vương
stadia	thước đo tầm xa
stadium	sân vận động
stadtholder	(sử học) phó vương
staff	gậy
stag	hươu đực
stag-evil	bệnh cứng hàm (ngựa)
stag-party	buổi họp của riêng đàn ông; bữa tiệc của riêng đàn ông
stage	bệ
stage directions	(sân khấu) bản hướng dẫn cách diễn (cách đi đứng
stage door	cửa vào của diễn viên (ở sau sân khấu)
stage effect	sự mê sân khấu
stage fever	sự mê sân khấu
stage fright	sự run sợ khi ra trình diễn (lần đầu tiên)
stage manager	(sân khấu) đạo diễn (kịch)
stage rights	đặc quyền diễn (một vở kịch)
stage whisper	(sân khấu) lời vờ nói thầm (cốt để cho khán giả nghe thấy)
stage-coach	xe ngựa chở khách (theo chặng đường nhất định)
stage-coachman	người đánh xe ngựa chở khách (theo chặng đường nhất định)
stage-struck	mê sân khấu
stagecraft	nghệ thuật viết kịch
stager	old stager người có nhiều kinh nghiệm
stagey	có điệu bộ sân khấu
staggart	(động vật học) hươu đực bốn tuổi
stagger	sự lảo đảo; bước đi loạng choạng
staggerer	sự kiện làm sửng sốt
staggering	làm lảo đảo
staghound	giống chó săn hưu nai
staginess	tính chất kịch (trong cử chỉ
staging	sự đưa một vở kịch lên sân khấu
staging post	nơi nghỉ
stagirite	người dân Xta-gi-ra
stagnancy	sự ứ đọng; tình trạng tù hãm
stagnant	ứ đọng; tù hãm
stagnate	đọng
stagnation	sự ứ đọng; tình trạng tù hãm
stagnicolous	sống ở nơi ao tù nước đọng; sống ở đầm lầy
stagy	có điệu bộ sân khấu
staid	chắc chắn
staidness	tính chắc chắn
stain	sự biến màu; vết bẩn
stainable	dễ bẩn
stained glass	kính màu
stainer	thuốc in màu
stainless	không vết dơ
stainless steel	thép không gỉ
stair	bậc thang
stair baluster	lan can cầu thang
stair-rod	thanh chặn thảm cầu thang
staircase	cầu thang
stairhead	đầu cầu thang
stairway	cầu thang
staith	trạm cung cấp than cho tàu biển
staithe	trạm cung cấp than cho tàu biển
stake	cộc
stake-boat	thuyền cữ (dùng làm cữ để xác định đường đua trong cuộc đua thuyền)
stake-net	lưới cọc
stakeholder	người giữ tiền đặt cược
stakhanovism	phong trào thi đua năng suất cao (ở Liên xô)
stakhanovite	công nhân có năng suất cao
stalactic	(thuộc) chuông đá
stalactiform	có hình chuông đá
stalactite	(địa lý
stalag	trại giam
stalagmite	(địa lý
stale	cũ
stalemate	(đánh cờ) thế bí
staleness	tình trạng cũ; tình trạng ôi
stalk	(thực vật học) thân (cây); cuống (hoa...)
stalked	có thân; có cuống
stalker	người đi oai vệ
stalking-horse	ngựa làm bình phong cho người đi săn
stalkless	không có thân; không có cuống
stalklet	thân nhỏ; cuống nhỏ
stalky	như cuống
stall	chuồng (ngựa
stall-fed	được nhốt trong chuồng để vỗ béo
stall-feed	nhốt (súc vật) trong chuồng để vỗ béo
stallage	khu vực dựng quán
stallion	ngựa (đực) giống
stalwart	người vạm vỡ
stalwartness	tầm vóc vạm vỡ
stamen	(thực vật học) nhị (hoa)
stamened	(thực vật học) cỏ nhị (hoa)
stamina	sức chịu đựng; khả năng chịu đựng
staminaeal	(thực vật học) (thuộc) nhị (hoa)
staminal	(thực vật học) (thuộc) nhị ((cũng) stamineal)
staminate	(thực vật học) cỏ nhị (hoa)
stamineous	(thực vật học) (thuộc) nhị (hoa)
staminiferous	(thực vật học) có nhị (hoa)
stammer	sự nói lắp
stammerer	người nói lắp
stammeringly	lắp bắp
stamp	tem
stamp-collector	người chơi tem
stamp-duty	tiền tem phải dán (dán vào đơn từ
stamp-machine	máy in tem
stamp-mill	máy nghiền quặng
stampede	sự chạy tán loạn (ngựa
stamper	người đóng dấu vào tem (ở nhà bưu điện)
stamping-ground	(từ Mỹ
stance	(thể dục
stanch	cầm (máu) lại; làm (một vết thương) cầm máu lại
stanchion	chống bằng cột
stand	sự dừng lại
stand camera	máy quay phim có chân đứng; máy ảnh có chân đứng
stand-by	người có thể trông cậy được; vật có thể trông mong vào; chỗ dựa
stand-off	sự xa cách
stand-offish	xa cách
stand-offishness	sự xa cách
stand-out	cái xuất sắc
stand-pipe	(kỹ thuật) ống đứng
stand-up	đứng (cổ áo)
standard	cờ hiệu
standard book	sách giáo khoa
standard english	tiếng Anh phổ thông
standard gauge	bề ngang tiêu chuẩn của đường sắt
standard lamp	đèn đứng
standard-bearer	người lính cầm cờ
standardise	tiêu chuẩn hoá
standardization	sự tiêu chuẩn hoá
standardize	tiêu chuẩn hoá
standee	(từ Mỹ
standfast	người có thể trông cậy được
standing	sự đứng; thế đứng
standing-room	chỗ đứng (trong rạp hát)
standish	(từ cổ
standpat	(từ Mỹ
standpatter	(từ Mỹ
standpoint	quan điểm
standstill	sự ngừng lại
stanhope	xe xtanôp (một kiểu xe ngựa nhẹ
staniel	(động vật học) chim cắt
stank	mùi hôi thối
stannary	mỏ thiếc
stannic	(hoá học) Stannic
stanniferous	có chất thiếc
stanza	đoạn thơ
stanzaed	(thuộc) đoạn thơ
stanzaic	(thuộc) đoạn thơ
staphylococci	khuẩn cầu chùm
staphylococcic	(thuộc) khuẩn cầu chùm; do khuẩn cầu chùm gây ra
staphylococcus	khuẩn cầu chùm
staple	đinh kẹp
stapler	người xếp loại (bông
stapling-machine	máy rập sách
star	sao
star shell	đạn pháo sáng
star turn	tiết mục chủ yếu
star-apple	(thực vật học) cây vú sữa
star-dust	vầng sao xa mờ
star-gazer	đùa cợt) nhà thiên văn học
star-gazing	sự xem sao;(đùa cợt) sự xem thiên văn
star-spangled	lốm đốm sao
starboard	(hàng hải) mạn phải (của tàu
starch	bột
starched	có hồ bột
starchedness	sự có hồ bột
starcher	người hồ vải
starchiness	sự có hồ bột
starchy	có hồ bột
stardom	cương vị ngôi sao điện ảnh
stare	sự nhìn chòng chọc
starfish	(động vật học) sao biển
staring	nhìn chằm chằm
stark	cứng đờ
starless	không có sao
starlet	ngôi sao nhỏ
starlight	ánh sáng sao
starlike	như sao
starling	(động vật học) chim sáo đá
starlit	ánh sáng sao
starry	có nhiều sao
starry-eyed	(thực vật học) không thực thế
stars and stripes	cờ nước Mỹ
start	lúc bắt đầu
start-up	(kỹ thuật) sự khởi động
starter	người ra lệnh xuất phát (một cuộc đua)
starting	sự giật mình
starting-post	(thể dục
startle	sự giật mình; cái giật mình
startler	tin tức làm giật mình
startling	làm giật mình
starvation	sự đói
starve	chết đói
starveling	đói
stash	(từ Mỹ
stasis	(y học) sự ứ (máu
statable	có thể phát biểu ra
state	trạng thái
state bank	ngân hàng nhà nước
state capitalism	chủ nghĩa tư bản nhà nước
state chamber	phòng khánh tiết (dành cho những lễ lớn của nhà nước)
state department	bộ ngoại giao Mỹ
state secretary	bộ trưởng bộ ngoại giao Mỹ ((cũng) Secretary of State)
state-house	(từ Mỹ
state-room	phòng khánh tiết (dùng trong các buổi nghi lễ)
statecraft	nghệ thuật quản lý nhà nước
stated	đã định
statedly	ở từng thời kỳ đã định
stateliness	sự oai vệ
stately	oai vệ
statement	sự bày tỏ
stater	đồng xtatơ (tiền vàng cổ Hy lạp)
stateside	(từ Mỹ
statesman	chính khách
statesmanlike	có vẻ chính khách
statesmanly	có vẻ chính khách
statesmanship	nghệ thuật quản lý nhà nước
statewide	khắp nước
static	tĩnh
statics	tĩnh học
station	trạm
station agent	(từ Mỹ
station-bill	danh sách trạm đỗ tàu (của một công ty tàu)
station-calendar	bảng giờ xe lửa
station-house	trạm cảnh sát; trạm công an
station-master	trưởng ga
station-wagon	xe lửa chở khách vừa chở hàng
stationariness	tính chất không di chuyển
stationary	đứng ở một chỗ
stationer	người bán đồ dùng học sinh
stationery	đồ dùng văn phòng
statist	nhà thống kê
statistic	(thuộc) thống kê
statistical	(thuộc) thống kê
statistician	nhà thống kê
statistics	thống kê
statistology	thống kê học
stator	(điện học) Xtato
statoscope	(vật lý) cái đo vi áp
statuary	(thuộc) tượng
statue	tượng
statued	tạc thành tượng
statuesque	như tượng; đẹp như tượng; oai nghiêm như tượng
statuesqueness	sự giống như tượng; sự đẹp như tượng; sự oai nghiêm như tượng; tầm vóc như tượng
statuette	tượng nhỏ
stature	vóc người
status	địa vị
status quo	nguyên trạng
statutable	(thuộc) luật; do luật pháp quy định
statutably	đúng quy chế
statute	đạo luật
statute law	luật thành văn
statute-book	sách luật
statutory	(thuộc) luật; do luật pháp quy định
staunch	cầm (máu) lại; làm (một vết thương) cầm máu lại
staunchness	sự trung thành; sự đáng tin cậy
stave	miếng ván cong (để đóng thuyền
stave-rhyme	sự láy phụ âm (thơ)
staves	gậy
stay	(hàng hải) dây néo (cột buồm...)
stay-at-home	thường ở nhà
stay-bar	od) 
stay-down strike	bãi công ngồi
stay-in strike	cuộc bãi công tại chỗ
stay-lace	đăng ten yếm nịt
stay-maker	người may yếm nịt
stay-rod	od) 
stayer	người ru rú xó nhà
staying power	sức chịu đựng
stayless	không mặc yếm nịt
stead	to stand someone in good stead có ích cho ai
steadfast	kiên định
steadfastness	tính kiên định
steadiness	tính vững chắc
steading	trang trại
steady	vững
steak	miếng cá để nướng
steal	ăn cắp
stealer	kẻ cắp
stealing	sự căn cắp
stealth	by stealth giấu giếm
stealthiness	tính chất giấu giếm
stealthy	giấu giếm
steam	hơi nước
steam brake	phanh hơi
steam crane	cần cẩu chạy bằng hơi
steam fitter	thợ lắp nồi hơi
steam gun	súng hơi
steam hammer	(kỹ thuật) búa hơi
steam navvy	máy đào; máy xúc
steam plough	(nông nghiệp) cày hơi
steam shovel	máy đào; máy xúc
steam whistle	còi hơi
steam winch	(kỹ thuật) tời hơi
steam-boiler	nồi hơi
steam-box	hest) 
steam-chest	hest) 
steam-coal	than đốt nồi hơi
steam-colour	màu in (vào vải) bằng hơi
steam-cylinder	Xylanh máy hơi nước
steam-engine	máy hơi nước
steam-gauge	cái đo áp lực hơi (lắp vào nồi hơi)
steam-heat	(vật lý) nhiệt bốt hơi
steam-jacket	(kỹ thuật) áo hơi (bao quanh xylanh)
steam-port	ống dẫn hơi
steam-power	năng lượng hơi
steam-roller	xe lăn đường
steam-tight	kín hơi
steam-tug	tàu kéo chạy bằng hơi nước
steam-turbine	Tuabin hơi
steamboat	tàu chạy bằng hơi nước
steamer	tàu chạy bằng hơi nước
steaminess	tính chất như hơi
steamship	tàu chạy bằng hơi nước
steamy	như hơi
stearate	(hoá học) Stearat
stearic	(hoá học) Stearic
stearin	(hoá học) Stearin
steatite	(khoáng chất) Steatit
steatitic	(khoáng chất) (thuộc) Steatit
steatopygia	tình trạng mông nhiều mỡ ((thường) ở đàn bà)
steatopygous	có mông nhiều mỡ (đàn bà)
steatosis	(y học) chứng nhiễm mỡ; chứng thoái hoá mỡ
stedfast	(từ Mỹ
steed	(văn học)
steedless	không có ngựa; không đi ngựa
steel	thép
steel wool	bùi nhùi thép (để rửa bát)
steel-blue	màu xanh thép
steel-clad	mặc áo giáp
steel-engraving	sự khắc trên thép
steel-hearted	(lòng) sắt đá
steel-plated	bọc thép
steelify	luyện thành thép
steeliness	sự rắn như thép
steelwork	đồ dùng bằng thép
steely	làm bằng thép
steelyard	cái cân dọc
steenbok	uck) 
steening	thành giếng bằng đá
steenkirk	(sử học) cái ca vát
steep	dốc
steepen	dốc (đường đi)
steeper	thùng (để) ngâm
steeple	gác chuông
steeple-crowned hat	mũ chóp nhọn
steeplechase	cuộc đua ngựa vượt rào
steeplechaser	người cưỡi ngựa đua vượt rào
steepled	có gác chuông
steeplejack	thợ leo (chuyên leo lên gác chuông...
steeply	dốc; cheo leo
steepness	sự dốc (của đường đi); độ dốc
steepy	(thơ ca) dốc
steer	lái (tàu thuỷ
steerable	có thể lái được
steerage	(hàng hải) sự chịu lái (ảnh hưởng của bánh lái lên tàu)
steerage-way	(hàng hải) tốc độ cần thiết để cho vững tay lái
steerer	người cầm lái
steering committee	ban lãnh đạo
steering-gear	cơ cấu lái (ô tô
steering-wheel	tay lái
steersman	người lái tàu thuỷ
steersmanship	nghệ thuật lái tàu thuỷ
steeve	(hàng hải) sào (để) xếp hàng
stein	ca uống bia
steinbock	(động vật học) dê rừng núi An-pơ
stelae	bia (có để khắc)
stele	bia (có để khắc)
stellar	(thuộc) sao
stellate	hình sao
stellated	hình sao
stellenbosch	(sử học)
stelliferous	(từ hiếm
stelliform	hình sao
stellular	(như) stellate
stellulate	(như) stellate
stem	(thực vật học) thân (cây); cuống
stemless	không có thân; không có cuống
stemlet	thân nhỏ; cuống nhỏ
stemma	cây dòng họ
stemmata	cây dòng họ
stemmed	có thân; có cuống
stemmer	người tước cuống
stemple	xà đỡ (xà ngang đỡ hầm mỏ)
stemware	cốc ly uống rượu có chân (nói chung)
sten	(quân sự) súng xten
stench	mùi hôi thối
stencil	khuôn tô (khuôn chữ
stenciller	người làm khuôn tô
stenochromy	thuật in nhiều màu một lúc
stenograph	chữ tốc ký; bản tốc ký
stenographer	người viết tốc ký
stenographic	(thuộc) tốc ký
stenographical	(thuộc) tốc ký
stenographist	người viết tốc ký
stenography	phép tốc ký
stenopetalous	(thực vật học) có cánh hẹp (hoa)
stenophyllous	(thực vật học) có cánh hẹp
stenosis	(y học) chứng hẹp (một cơ quan trong cơ thể)
stentor	người có giọng oang oang
stentorian	oang oang (tiếng)
step	bước
step-dance	khiêu vũ biểu diễn
step-down transformer	(điện học) máy giảm thế
step-ins	váy trong
step-ladder	thang đứng
step-up transformer	(điện học) máy tăng chế
stepbrother	anh (em) cùng cha khác mẹ
stepchild	con riêng
stepdame	(từ cổ
stepdaughter	con gái riêng
stepfather	bố dượng
stepmother	người mẹ cay nghiệt
stepmotherly	cay nghiệt
stepney	(sử học) vành bánh mô tô dự phòng (không có nan hoa)
steppe	thảo nguyên
stepped	có bậc
stepping-stone	tảng đá giậm bước (để bước qua vũng lầy...)
stepsister	chị (em) cùng cha khác mẹ
stepson	con trai riêng
stepwise	như bậc thang
stercoraceous	(thuộc) phân; như phân
stercoral	(thuộc) phân; như phân
stere	mét khối
stereo	(thông tục) bản in đúc
stereobate	nền nhà
stereochemistry	hoá học lập thể
stereographic	(thuộc) phép vẽ nổi
stereographical	(thuộc) phép vẽ nổi
stereography	phép vẽ nổi
stereoisomer	(hoá học) chất đồng phân lập thể
stereometric	(thuộc) hình học không gian
stereometrical	(thuộc) hình học không gian
stereometry	hình học không gian
stereophonic	(thuộc) âm lập thể
stereoscope	kính nhìn nổi
stereoscopic	nhìn nổi; lập thể
stereoscopical	nhìn nổi; lập thể
stereoscopy	khoa nhìn nổi
stereotype	bản in đúc
stereotyper	thợ đúc bản in
stereotypic	(thuộc) phương pháp đúc bản in; (thuộc) thuật in bằng bản in đúc
stereotypist	thợ đúc bản in
stereotypography	phương pháp in bằng bản in đúc
stereotypy	phương pháp đúc bản in
sterile	cằn cỗi
sterility	sự cằn cỗi
sterilization	sự khử trùng
sterilize	làm tiệt trùng
sterilizer	máy khử trùng
sterlet	(động vật học) cá tầm sông Đa-nuýt
sterling	thật
